usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,verbatim_name,acceptedUsageKey
3177112,Eucalyptus viminalis Labill.,Eucalyptus viminalis,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus viminalis,6,7707728,220,690,5014,7493935,3177112,FALSE,Magnoliopsida,Eucalyptus viminalis,NA
3176456,Eucalyptus woodwardii Maiden,Eucalyptus woodwardii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus woodwardii,6,7707728,220,690,5014,7493935,3176456,FALSE,Magnoliopsida,Eucalyptus woodwardii,NA
3723584,Eucommia ulmoides Oliv.,Eucommia ulmoides,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Garryales,Eucommiaceae,Eucommia,Eucommia ulmoides,6,7707728,220,628,3723582,3723583,3723584,FALSE,Magnoliopsida,Eucommia ulmoides,NA
3920268,Eucryphia lucida (Labill.) Baill.,Eucryphia lucida,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Oxalidales,Cunoniaceae,Eucryphia,Eucryphia lucida,6,7707728,220,7224021,2405,7113177,3920268,FALSE,Magnoliopsida,Eucryphia lucida,NA
3920287,Eucryphia cordifolia Cav.,Eucryphia cordifolia,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Oxalidales,Cunoniaceae,Eucryphia,Eucryphia cordifolia,6,7707728,220,7224021,2405,7113177,3920287,FALSE,Magnoliopsida,Eucryphia cordifolia,NA
5416458,Eugenia uniflora L.,Eugenia uniflora,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eugenia,Eugenia uniflora,6,7707728,220,690,5014,3177662,5416458,FALSE,Magnoliopsida,Eugenia uniflora,NA
3794029,Euonymus bungeanus Maxim.,Euonymus bungeanus,SPECIES,SYNONYM,99,EXACT,Plantae,Tracheophyta,Celastrales,Celastraceae,Euonymus,Euonymus maackii,6,7707728,220,950,6715,3169115,7265494,TRUE,Magnoliopsida,Euonymus bungeanus,7265494
3169131,Euonymus europaeus L.,Euonymus europaeus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Celastrales,Celastraceae,Euonymus,Euonymus europaeus,6,7707728,220,950,6715,3169115,3169131,FALSE,Magnoliopsida,Euonymus europaeus,NA
7102937,Euonymus japonicus Thunb.,Euonymus japonicus,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Celastrales,Celastraceae,Euonymus,Euonymus japonicus,6,7707728,220,950,6715,3169115,7102937,FALSE,Magnoliopsida,Euonymus japonicus,NA
3067261,Euphorbia cotinifolia L.,Euphorbia cotinifolia,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia cotinifolia,6,7707728,220,1414,4691,11397237,3067261,FALSE,Magnoliopsida,Euphorbia cotinifolia,NA
3069353,Euphorbia tirucalli L.,Euphorbia tirucalli,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia tirucalli,6,7707728,220,1414,4691,11397237,3069353,FALSE,Magnoliopsida,Euphorbia tirucalli,NA
