scientific_name,tree_id,common_name,status,selectree_url
Quercus rugosa,1696,NETLEAF OAK,Existing,https://selectree.calpoly.edu/tree-detail/1696
Quercus ithaburensis,1697,MOUNT TABOR OAK,Existing,https://selectree.calpoly.edu/tree-detail/1697
Elaeodendron orientale,1700,FALSE OLIVE,Existing,https://selectree.calpoly.edu/tree-detail/1700
Quercus boissieri,1703,CYPRUS OAK,Existing,https://selectree.calpoly.edu/tree-detail/1703
Quercus calliprinos,1704,KERMES OAK,Existing,https://selectree.calpoly.edu/tree-detail/1704
Adansonia digitata,1705,BAOBAB,Existing,https://selectree.calpoly.edu/tree-detail/1705
Musa acuminata,1707,BANANA,Existing,https://selectree.calpoly.edu/tree-detail/1707
Bixa orellana,1708,ACHIOTE,Existing,https://selectree.calpoly.edu/tree-detail/1708
Theobroma cacao,1710,CACAO TREE,Existing,https://selectree.calpoly.edu/tree-detail/1710
Gardenia taitensis,1711,TAHITIAN GARDENIA,Existing,https://selectree.calpoly.edu/tree-detail/1711
Radermachera sinica,1712,CHINA DOLL,Existing,https://selectree.calpoly.edu/tree-detail/1712
Abies amabilis,1,CASCADE FIR,Existing,https://selectree.calpoly.edu/tree-detail/1
Abies amabilis,1,AMABILIS FIR,Existing,https://selectree.calpoly.edu/tree-detail/1
Abies bracteata,2,BRISTLECONE FIR,Existing,https://selectree.calpoly.edu/tree-detail/2
Abies firma,5,MOMI FIR,Existing,https://selectree.calpoly.edu/tree-detail/5
Abies grandis,6,LOWLAND FIR,Existing,https://selectree.calpoly.edu/tree-detail/6
Abies lasiocarpa,8,ROCKY MOUNTAIN FIR,Existing,https://selectree.calpoly.edu/tree-detail/8
Abies nordmanniana,10,CAUCASIAN FIR,Existing,https://selectree.calpoly.edu/tree-detail/10
Acer saccharum subsp. floridanum,38,CADDO FLORIDA MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/38
Acer saccharum subsp. floridanum,38,FLORIDA MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/38
Acer buergerianum,39,THREE TOOTHED MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/39
Acer campestre,40,FIELD MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/40
Acer campestre 'Postelence',41,YELLOW HEDGE MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/41
Acer capillipes,43,JAPANESE SNAKEBARK MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/43
Acer capillipes,43,KYUSHU MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/43
Acer cappadocicum,44,CAPPADOCIAN MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/44
Acer circinatum 'Monroe',46,CUT LEAF VINE MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/46
Acer cissifolium,47,VINE LEAF MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/47
Acer davidii,48,SNAKEBARK MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/48
Acer tataricum subsp. ginnala 'Flame',50,TATARIUM MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/50
Acer saccharum subsp. grandidentatum,53,ROCKY MOUNTAIN SUGAR MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/53
